epsilon,occupied_boxes,log_inverse_epsilon,log_occupied_boxes,used_in_fit
0.0025576326815254192,7300,5.968673182099853,8.895629627136483,True
0.0033802203701808527,5249,5.689814373334166,8.5657928612523,True
0.004467369311284743,3789,5.410955564568481,8.239857411018601,True
0.005904167887829444,2706,5.132096755802794,7.903226808730733,True
0.007803070670611615,1919,4.853237947037108,7.5595594960077,True
0.010312699951515686,1374,4.574379138271421,7.2254814727822945,True
0.013629478032352054,970,4.295520329505736,6.877296071497429,True
0.018013000698916416,693,4.016661520740049,6.541029999189903,True
0.023806355122989932,494,3.7378027119743633,6.202535517187923,True
0.031462972422801376,351,3.4589439032086773,5.860786223465865,True
0.04158211656357214,244,3.1800850944429913,5.497168225293202,True
0.05495578722414137,170,2.9012262856773052,5.135798437050262,True
0.07263070759776766,123,2.622367476911619,4.812184355372417,True
0.09599024875464056,85,2.3435086681459327,4.442651256490317,True
0.12686270257762117,60,2.0646498593802467,4.0943445622221,True
0.16766437751855415,41,1.7857910506145602,3.713572066704308,True
0.2215887169161027,29,1.5069322418488742,3.367295829986474,True
0.29285624168491625,20,1.2280734330831877,2.995732273553991,True
0.3870448797548027,14,0.9492146243175023,2.6390573296152584,True
0.5115265363050838,11,0.6703558155518166,2.3978952727983707,True
