radius,correlation_sum,pairs_within_radius,log_radius,log_correlation_sum,used_in_fit,sample_size,pairs_used,theiler_window
0.0025576326815254192,0.0005605075634454306,17934,-5.968673182099853,-7.486667821438857,True,8000,31996000,0
0.0033802203701808527,0.0007655956994624328,24496,-5.689814373334166,-7.174856335053384,True,8000,31996000,0
0.004467369311284743,0.0010495999499937493,33583,-5.410955564568481,-6.859346187417601,True,8000,31996000,0
0.005904167887829444,0.0014451181397674708,46238,-5.132096755802794,-6.539564203135167,True,8000,31996000,0
0.007803070670611615,0.0020129078634829353,64405,-4.853237947037107,-6.2081749041206615,True,8000,31996000,0
0.010312699951515686,0.0028397924740592574,90862,-4.574379138271422,-5.864024301993295,True,8000,31996000,0
0.013629478032352054,0.004033504188023503,129056,-4.295520329505736,-5.513119755277755,True,8000,31996000,0
0.018013000698916416,0.005677928491061383,181671,-4.016661520740049,-5.171168815047052,True,8000,31996000,0
0.023806355122989932,0.007891392674084261,252493,-3.7378027119743633,-4.841982648409858,True,8000,31996000,0
0.031462972422801376,0.011057819727465933,353806,-3.4589439032086773,-4.5046174336530775,True,8000,31996000,0
0.04158211656357214,0.01568433554194274,501836,-3.1800850944429913,-4.155092800879933,True,8000,31996000,0
0.05495578722414137,0.021879203650456307,700047,-2.9012262856773052,-3.822218698322146,True,8000,31996000,0
0.07263070759776766,0.030215433179147395,966773,-2.622367476911619,-3.4994024527118133,True,8000,31996000,0
0.09599024875464056,0.042156613326665836,1348843,-2.3435086681459327,-3.1663637070394857,True,8000,31996000,0
0.12686270257762117,0.05860620077509689,1875164,-2.0646498593802467,-2.8369147727225204,True,8000,31996000,0
0.16766437751855415,0.08086882735341917,2587479,-1.7857910506145602,-2.5149268523700514,True,8000,31996000,0
0.2215887169161027,0.11309376172021503,3618548,-1.5069322418488742,-2.179538054585388,True,8000,31996000,0
0.29285624168491625,0.1604982185273159,5135301,-1.2280734330831877,-1.8294724359919476,True,8000,31996000,0
0.3870448797548027,0.2295731966495812,7345424,-0.9492146243175023,-1.4715333606823842,True,8000,31996000,0
0.5115265363050838,0.3179909363670459,10174438,-0.6703558155518164,-1.1457323985985715,True,8000,31996000,0
