epsilon,entropy,occupied_boxes,log_inverse_epsilon,used_in_fit
0.0025576326815254192,8.593315685571062,7300,5.968673182099853,True
0.0033802203701808527,8.268741636744569,5249,5.689814373334166,True
0.004467369311284743,7.9499528584975305,3789,5.410955564568481,True
0.005904167887829444,7.6240414500806,2706,5.132096755802794,True
0.007803070670611615,7.287894075280735,1919,4.853237947037108,True
0.010312699951515686,6.938782023256634,1374,4.574379138271421,True
0.013629478032352054,6.594927065822873,970,4.295520329505736,True
0.018013000698916416,6.2344367303719785,693,4.016661520740049,True
0.023806355122989932,5.905794345525887,494,3.7378027119743633,True
0.031462972422801376,5.567511491563579,351,3.4589439032086773,True
0.04158211656357214,5.201276306627768,244,3.1800850944429913,True
0.05495578722414137,4.852052819187099,170,2.9012262856773052,True
0.07263070759776766,4.515601755808818,123,2.622367476911619,True
0.09599024875464056,4.18432019646607,85,2.3435086681459327,True
0.12686270257762117,3.8438876981796914,60,2.0646498593802467,True
0.16766437751855415,3.5000095256115324,41,1.7857910506145602,True
0.2215887169161027,3.128415103158441,29,1.5069322418488742,True
0.29285624168491625,2.7638285448563917,20,1.2280734330831877,True
0.3870448797548027,2.502440393353933,14,0.9492146243175023,True
0.5115265363050838,2.1089697248789783,11,0.6703558155518166,True
